,Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Date of Report,Time of Report,Occurrence Year,Age Group
21632,21633,,,Ahmedabad,234,SHOPLIFTING,16,M,Knife,Other Crime,4,1,14-08-2022 23:00,,,,Teen
21633,21634,,,Delhi,407,CYBERCRIME,74,M,Blunt Object,Other Crime,12,0,Ongoing,,,,Senior
21634,21635,,,Varanasi,493,EXTORTION,59,M,Knife,Other Crime,5,1,14-09-2022 01:00,,,,Adult
21635,21636,,,Ghaziabad,523,ARSON,66,Other,Poison,Fire Accident,16,1,24-08-2022 16:00,,,,Senior
21636,21637,,,Jaipur,544,DRUG OFFENSE,48,M,Other,Other Crime,19,1,02-09-2022 16:00,,,,Adult
21637,21638,,,Varanasi,221,CYBERCRIME,10,Other,None,Other Crime,2,1,15-08-2022 01:00,,,,Child
21638,21639,,,Bangalore,400,EXTORTION,79,Other,None,Other Crime,6,0,Ongoing,,,,Senior
21639,21640,,,Bangalore,201,VEHICLE - STOLEN,41,Other,Poison,Violent Crime,10,1,17-07-2022 07:00,,,,Adult
21640,21641,,,Kalyan,103,VANDALISM,22,F,None,Other Crime,2,0,Ongoing,,,,Young Adult
21641,21642,,,Delhi,497,IDENTITY THEFT,75,Other,Firearm,Violent Crime,14,0,Ongoing,,,,Senior
21642,21643,,,Bhopal,324,ARSON,37,F,Knife,Fire Accident,12,1,22-07-2022 13:00,,,,Adult
21643,21644,,,Delhi,530,BURGLARY,76,F,Explosives,Other Crime,5,0,Ongoing,,,,Senior
21644,21645,,,Bangalore,254,ARSON,38,Other,Knife,Fire Accident,12,0,Ongoing,,,,Adult
21645,21646,,,Ahmedabad,471,ROBBERY,16,F,Knife,Violent Crime,16,0,Ongoing,,,,Teen
21646,21647,,,Delhi,319,COUNTERFEITING,59,F,Other,Other Crime,11,1,19-07-2022 21:00,,,,Adult
21647,21648,,,Hyderabad,181,COUNTERFEITING,52,M,Blunt Object,Other Crime,19,1,01-07-2022 17:00,,,,Adult
21648,21649,,,Nagpur,321,DOMESTIC VIOLENCE,52,Other,Blunt Object,Violent Crime,19,0,Ongoing,,,,Adult
21649,21650,,,Delhi,320,SEXUAL ASSAULT,12,M,Poison,Violent Crime,9,0,Ongoing,,,,Child
21650,21651,,,Kolkata,578,ARSON,45,Other,Knife,Fire Accident,11,0,Ongoing,,,,Adult
21651,21652,,,Chennai,246,COUNTERFEITING,59,Other,Explosives,Other Crime,5,1,28-07-2022 05:00,,,,Adult
21652,21653,,,Lucknow,317,DRUG OFFENSE,60,F,Poison,Other Crime,4,1,30-07-2022 00:00,,,,Adult
21653,21654,,,Kanpur,162,VANDALISM,23,Other,Poison,Other Crime,19,0,Ongoing,,,,Young Adult
21654,21655,,,Lucknow,517,TRAFFIC VIOLATION,11,F,Other,Traffic Fatality,19,0,Ongoing,,,,Child
21655,21656,,,Kanpur,261,FRAUD,74,F,Knife,Other Crime,19,0,Ongoing,,,,Senior
21656,21657,,,Delhi,113,CYBERCRIME,32,M,None,Other Crime,7,0,Ongoing,,,,Young Adult
21657,21658,,,Delhi,294,ARSON,12,Other,None,Fire Accident,13,0,Ongoing,,,,Child
21658,21659,,,Pune,491,PUBLIC INTOXICATION,28,Other,Knife,Other Crime,2,1,06-07-2022 06:00,,,,Young Adult
21659,21660,,,Chennai,200,SEXUAL ASSAULT,55,F,None,Violent Crime,9,0,Ongoing,,,,Adult
21660,21661,,,Delhi,303,PUBLIC INTOXICATION,51,Other,Poison,Other Crime,7,1,09-07-2022 18:00,,,,Adult
21661,21662,,,Thane,433,ARSON,51,F,Other,Fire Accident,17,1,04-07-2022 23:00,,,,Adult
21662,21663,,,Jaipur,192,ROBBERY,28,M,Explosives,Violent Crime,13,0,Ongoing,,,,Young Adult
21663,21664,,,Kolkata,270,VEHICLE - STOLEN,28,Other,Explosives,Violent Crime,10,1,11-09-2022 05:00,,,,Young Adult
21664,21665,,,Thane,249,EXTORTION,42,F,Blunt Object,Other Crime,14,0,Ongoing,,,,Adult
21665,21666,,,Jaipur,164,BURGLARY,30,F,None,Other Crime,14,1,07-12-2022 23:00,,,,Young Adult
21666,21667,,,Rajkot,244,SEXUAL ASSAULT,41,M,Poison,Violent Crime,11,0,Ongoing,,,,Adult
21667,21668,,,Indore,148,FIREARM OFFENSE,14,F,Explosives,Fire Accident,9,0,Ongoing,,,,Teen
21668,21669,,,Lucknow,143,IDENTITY THEFT,75,M,Blunt Object,Violent Crime,15,1,06-08-2022 15:00,,,,Senior
21669,21670,,,Faridabad,104,ROBBERY,12,M,Other,Violent Crime,12,1,30-09-2022 22:00,,,,Child
21670,21671,,,Mumbai,175,FIREARM OFFENSE,42,F,Blunt Object,Fire Accident,10,0,Ongoing,,,,Adult
21671,21672,,,Pune,419,TRAFFIC VIOLATION,72,Other,Firearm,Traffic Fatality,4,1,04-07-2022 11:00,,,,Senior
21672,21673,,,Lucknow,286,ILLEGAL POSSESSION,62,Other,Knife,Other Crime,8,0,Ongoing,,,,Senior
21673,21674,,,Chennai,177,CYBERCRIME,10,M,Other,Other Crime,13,1,01-07-2022 23:00,,,,Child
21674,21675,,,Ludhiana,135,ASSAULT,37,Other,Blunt Object,Violent Crime,1,1,08-08-2022 22:00,,,,Adult
21675,21676,,,Hyderabad,203,DOMESTIC VIOLENCE,64,M,None,Violent Crime,14,0,Ongoing,,,,Senior
21676,21677,,,Bangalore,425,PUBLIC INTOXICATION,37,Other,Explosives,Other Crime,5,0,Ongoing,,,,Adult
21677,21678,,,Visakhapatnam,310,IDENTITY THEFT,74,F,Other,Violent Crime,9,1,01-07-2022 01:00,,,,Senior
21678,21679,,,Hyderabad,244,IDENTITY THEFT,19,F,Explosives,Violent Crime,8,0,Ongoing,,,,Teen
21679,21680,,,Agra,256,KIDNAPPING,23,M,Blunt Object,Other Crime,8,1,09-08-2022 23:00,,,,Young Adult
21680,21681,,,Mumbai,342,ASSAULT,38,Other,Firearm,Violent Crime,16,1,18-09-2022 10:00,,,,Adult
21681,21682,,,Chennai,197,ARSON,47,F,Knife,Fire Accident,5,0,Ongoing,,,,Adult
21682,21683,,,Indore,243,KIDNAPPING,64,M,Knife,Other Crime,13,1,23-07-2022 21:00,,,,Senior
21683,21684,,,Chennai,415,DRUG OFFENSE,13,Other,Explosives,Other Crime,2,0,Ongoing,,,,Teen
21684,21685,,,Mumbai,550,FIREARM OFFENSE,75,M,None,Fire Accident,1,1,26-07-2022 00:00,,,,Senior
21685,21686,,,Pune,528,SEXUAL ASSAULT,39,F,Firearm,Violent Crime,19,0,Ongoing,,,,Adult
21686,21687,,,Mumbai,384,HOMICIDE,19,F,Blunt Object,Other Crime,12,1,28-05-2023 21:00,,,,Teen
21687,21688,,,Hyderabad,230,FRAUD,39,M,Knife,Other Crime,9,0,Ongoing,,,,Adult
21688,21689,,,Visakhapatnam,561,EXTORTION,26,M,None,Other Crime,2,0,Ongoing,,,,Young Adult
21689,21690,,,Bhopal,432,ROBBERY,61,Other,Firearm,Violent Crime,2,0,Ongoing,,,,Senior
21690,21691,,,Visakhapatnam,569,FIREARM OFFENSE,33,F,Other,Fire Accident,11,1,19-09-2022 23:00,,,,Young Adult
21691,21692,,,Hyderabad,163,ROBBERY,17,F,None,Violent Crime,7,1,14-12-2022 22:00,,,,Teen
21692,21693,,,Kolkata,173,HOMICIDE,76,F,Knife,Other Crime,1,0,Ongoing,,,,Senior
21693,21694,,,Bhopal,203,ILLEGAL POSSESSION,59,F,Knife,Other Crime,11,0,Ongoing,,,,Adult
21694,21695,,,Thane,375,FRAUD,72,M,Knife,Other Crime,9,0,Ongoing,,,,Senior
21695,21696,,,Mumbai,205,IDENTITY THEFT,52,Other,Other,Violent Crime,8,1,16-07-2022 14:00,,,,Adult
21696,21697,,,Bangalore,556,DOMESTIC VIOLENCE,56,F,Knife,Violent Crime,11,0,Ongoing,,,,Adult
21697,21698,,,Jaipur,336,FRAUD,74,M,Knife,Other Crime,14,1,01-09-2022 21:00,,,,Senior
21698,21699,,,Bangalore,339,SHOPLIFTING,74,Other,Other,Other Crime,8,0,Ongoing,,,,Senior
21699,21700,,,Chennai,577,KIDNAPPING,15,M,Other,Other Crime,3,0,Ongoing,,,,Teen
21700,21701,,,Pune,142,ILLEGAL POSSESSION,18,Other,None,Other Crime,7,1,19-09-2022 15:00,,,,Teen
21701,21702,,,Nagpur,126,VANDALISM,30,F,Other,Other Crime,15,1,28-07-2022 09:00,,,,Young Adult
21702,21703,,,Visakhapatnam,546,KIDNAPPING,37,M,None,Other Crime,4,1,07-07-2022 07:00,,,,Adult
21703,21704,,,Pune,276,CYBERCRIME,63,F,Blunt Object,Other Crime,14,0,Ongoing,,,,Senior
21704,21705,,,Patna,307,FRAUD,22,F,Blunt Object,Other Crime,7,1,31-08-2022 13:00,,,,Young Adult
21705,21706,,,Mumbai,584,SEXUAL ASSAULT,18,F,Other,Violent Crime,13,0,Ongoing,,,,Teen
21706,21707,,,Hyderabad,566,DRUG OFFENSE,33,M,Explosives,Other Crime,6,1,22-09-2022 06:00,,,,Young Adult
21707,21708,,,Kalyan,446,CYBERCRIME,26,M,Blunt Object,Other Crime,2,0,Ongoing,,,,Young Adult
21708,21709,,,Bhopal,141,ARSON,16,Other,Explosives,Fire Accident,4,0,Ongoing,,,,Teen
21709,21710,,,Pune,402,DOMESTIC VIOLENCE,14,M,None,Violent Crime,19,1,28-07-2022 22:00,,,,Teen
21710,21711,,,Chennai,434,KIDNAPPING,19,M,Poison,Other Crime,17,1,30-07-2022 23:00,,,,Teen
21711,21712,,,Srinagar,373,TRAFFIC VIOLATION,10,M,Blunt Object,Traffic Fatality,6,1,01-07-2022 06:00,,,,Child
21712,21713,,,Srinagar,480,ARSON,67,F,Blunt Object,Fire Accident,7,0,Ongoing,,,,Senior
21713,21714,,,Lucknow,125,FRAUD,55,M,Knife,Other Crime,12,1,08-07-2022 22:00,,,,Adult
21714,21715,,,Ghaziabad,344,BURGLARY,13,M,None,Other Crime,11,0,Ongoing,,,,Teen
21715,21716,,,Kalyan,475,TRAFFIC VIOLATION,75,F,Poison,Traffic Fatality,17,1,17-07-2022 23:00,,,,Senior
21716,21717,,,Mumbai,404,ILLEGAL POSSESSION,71,Other,Poison,Other Crime,17,1,24-08-2022 00:00,,,,Senior
21717,21718,,,Ghaziabad,381,ILLEGAL POSSESSION,22,F,Other,Other Crime,9,0,Ongoing,,,,Young Adult
21718,21719,,,Hyderabad,535,SEXUAL ASSAULT,32,F,Other,Violent Crime,16,1,24-05-2023 08:00,,,,Young Adult
21719,21720,,,Ahmedabad,592,SEXUAL ASSAULT,51,M,Explosives,Violent Crime,14,0,Ongoing,,,,Adult
21720,21721,,,Hyderabad,289,KIDNAPPING,43,Other,Other,Other Crime,2,0,Ongoing,,,,Adult
21721,21722,,,Delhi,138,VEHICLE - STOLEN,17,F,Explosives,Violent Crime,10,1,12-07-2022 13:00,,,,Teen
21722,21723,,,Kolkata,532,EXTORTION,54,F,Explosives,Other Crime,8,0,Ongoing,,,,Adult
21723,21724,,,Ahmedabad,415,CYBERCRIME,49,M,Blunt Object,Other Crime,5,1,29-08-2022 10:00,,,,Adult
21724,21725,,,Ahmedabad,309,FRAUD,35,M,Firearm,Other Crime,1,1,23-08-2022 17:00,,,,Young Adult
21725,21726,,,Delhi,279,BURGLARY,51,F,Knife,Other Crime,5,1,26-10-2022 11:00,,,,Adult
21726,21727,,,Kanpur,127,COUNTERFEITING,78,F,Other,Other Crime,18,1,02-09-2022 02:00,,,,Senior
21727,21728,,,Indore,146,HOMICIDE,20,F,Poison,Other Crime,10,0,Ongoing,,,,Young Adult
21728,21729,,,Lucknow,467,SHOPLIFTING,10,M,Knife,Other Crime,2,1,29-07-2022 04:00,,,,Child
21729,21730,,,Meerut,236,FIREARM OFFENSE,43,F,None,Fire Accident,3,0,Ongoing,,,,Adult
21730,21731,,,Hyderabad,187,KIDNAPPING,34,Other,Blunt Object,Other Crime,5,1,21-07-2022 08:00,,,,Young Adult
21731,21732,,,Delhi,126,TRAFFIC VIOLATION,32,F,Explosives,Traffic Fatality,4,0,Ongoing,,,,Young Adult
21732,21733,,,Delhi,532,ILLEGAL POSSESSION,41,Other,Explosives,Other Crime,1,1,02-09-2022 19:00,,,,Adult
21733,21734,,,Meerut,185,ARSON,17,Other,Poison,Fire Accident,2,1,31-08-2022 22:00,,,,Teen
21734,21735,,,Lucknow,520,ROBBERY,26,F,Firearm,Violent Crime,13,0,Ongoing,,,,Young Adult
21735,21736,,,Lucknow,332,EXTORTION,16,M,Other,Other Crime,10,0,Ongoing,,,,Teen
21736,21737,,,Kolkata,427,TRAFFIC VIOLATION,56,Other,None,Traffic Fatality,2,0,Ongoing,,,,Adult
21737,21738,,,Faridabad,507,ROBBERY,25,M,Other,Violent Crime,2,0,Ongoing,,,,Young Adult
21738,21739,,,Indore,104,FIREARM OFFENSE,68,F,Explosives,Fire Accident,9,1,01-08-2022 14:00,,,,Senior
21739,21740,,,Mumbai,116,KIDNAPPING,29,F,Knife,Other Crime,18,1,08-09-2022 11:00,,,,Young Adult
21740,21741,,,Thane,208,PUBLIC INTOXICATION,59,Other,Explosives,Other Crime,1,0,Ongoing,,,,Adult
21741,21742,,,Bangalore,502,CYBERCRIME,39,M,None,Other Crime,1,0,Ongoing,,,,Adult
21742,21743,,,Ghaziabad,116,FRAUD,32,Other,Poison,Other Crime,13,1,19-09-2022 23:00,,,,Young Adult
21743,21744,,,Chennai,468,DRUG OFFENSE,59,M,None,Other Crime,9,0,Ongoing,,,,Adult
21744,21745,,,Mumbai,476,HOMICIDE,25,Other,Blunt Object,Other Crime,13,0,Ongoing,,,,Young Adult
21745,21746,,,Jaipur,389,VANDALISM,34,M,Other,Other Crime,19,0,Ongoing,,,,Young Adult
21746,21747,,,Ahmedabad,296,TRAFFIC VIOLATION,31,F,Poison,Traffic Fatality,8,1,30-06-2022 07:00,,,,Young Adult
21747,21748,,,Rajkot,379,CYBERCRIME,69,Other,Blunt Object,Other Crime,11,0,Ongoing,,,,Senior
21748,21749,,,Lucknow,263,COUNTERFEITING,30,Other,Explosives,Other Crime,2,0,Ongoing,,,,Young Adult
21749,21750,,,Bangalore,227,DOMESTIC VIOLENCE,59,Other,Blunt Object,Violent Crime,15,1,06-09-2022 09:00,,,,Adult
21750,21751,,,Visakhapatnam,271,EXTORTION,58,F,Poison,Other Crime,19,1,19-07-2022 20:00,,,,Adult
21751,21752,,,Pune,532,EXTORTION,59,F,Knife,Other Crime,13,1,15-08-2022 06:00,,,,Adult
21752,21753,,,Indore,284,EXTORTION,22,F,Knife,Other Crime,19,0,Ongoing,,,,Young Adult
21753,21754,,,Agra,132,HOMICIDE,73,Other,Blunt Object,Other Crime,16,0,Ongoing,,,,Senior
21754,21755,,,Patna,155,IDENTITY THEFT,39,M,None,Violent Crime,15,0,Ongoing,,,,Adult
21755,21756,,,Pune,328,IDENTITY THEFT,60,M,Explosives,Violent Crime,11,1,25-09-2022 07:00,,,,Adult
21756,21757,,,Bangalore,535,ASSAULT,62,F,Firearm,Violent Crime,3,1,31-08-2022 21:00,,,,Senior
21757,21758,,,Ghaziabad,319,HOMICIDE,26,M,None,Other Crime,8,0,Ongoing,,,,Young Adult
21758,21759,,,Bangalore,480,ASSAULT,54,Other,None,Violent Crime,18,0,Ongoing,,,,Adult
21759,21760,,,Bhopal,583,TRAFFIC VIOLATION,68,F,Firearm,Traffic Fatality,3,0,Ongoing,,,,Senior
21760,21761,,,Bangalore,599,DRUG OFFENSE,56,M,Firearm,Other Crime,5,0,Ongoing,,,,Adult
21761,21762,,,Mumbai,108,COUNTERFEITING,49,F,Other,Other Crime,5,1,10-07-2022 21:00,,,,Adult
21762,21763,,,Delhi,113,COUNTERFEITING,15,M,Poison,Other Crime,2,0,Ongoing,,,,Teen
21763,21764,,,Delhi,112,CYBERCRIME,41,F,Poison,Other Crime,15,0,Ongoing,,,,Adult
21764,21765,,,Pune,513,ARSON,28,M,Other,Fire Accident,4,1,23-08-2022 00:00,,,,Young Adult
21765,21766,,,Ahmedabad,135,SEXUAL ASSAULT,67,F,Knife,Violent Crime,19,0,Ongoing,,,,Senior
21766,21767,,,Chennai,428,KIDNAPPING,43,M,Explosives,Other Crime,15,0,Ongoing,,,,Adult
21767,21768,,,Delhi,450,BURGLARY,70,Other,Blunt Object,Other Crime,15,0,Ongoing,,,,Senior
21768,21769,,,Indore,488,DRUG OFFENSE,28,M,Explosives,Other Crime,6,1,07-08-2022 11:00,,,,Young Adult
21769,21770,,,Jaipur,470,SEXUAL ASSAULT,62,F,Knife,Violent Crime,2,1,27-08-2023 09:00,,,,Senior
21770,21771,,,Delhi,551,DOMESTIC VIOLENCE,47,M,None,Violent Crime,6,0,Ongoing,,,,Adult
21771,21772,,,Agra,373,FIREARM OFFENSE,68,Other,Knife,Fire Accident,10,0,Ongoing,,,,Senior
21772,21773,,,Hyderabad,443,ASSAULT,51,F,Knife,Violent Crime,15,1,22-09-2022 23:00,,,,Adult
21773,21774,,,Pune,510,TRAFFIC VIOLATION,22,Other,Firearm,Traffic Fatality,4,1,16-07-2022 20:00,,,,Young Adult
21774,21775,,,Visakhapatnam,553,KIDNAPPING,30,F,None,Other Crime,11,1,09-09-2022 19:00,,,,Young Adult
21775,21776,,,Delhi,215,DOMESTIC VIOLENCE,79,F,Poison,Violent Crime,6,1,15-07-2022 19:00,,,,Senior
21776,21777,,,Ahmedabad,492,ILLEGAL POSSESSION,25,Other,None,Other Crime,15,1,08-07-2022 19:00,,,,Young Adult
21777,21778,,,Mumbai,514,DRUG OFFENSE,31,M,Firearm,Other Crime,1,0,Ongoing,,,,Young Adult
21778,21779,,,Jaipur,483,FIREARM OFFENSE,50,M,Knife,Fire Accident,16,1,07-09-2022 03:00,,,,Adult
21779,21780,,,Delhi,565,SEXUAL ASSAULT,65,M,Firearm,Violent Crime,13,0,Ongoing,,,,Senior
21780,21781,,,Pune,562,CYBERCRIME,14,M,Other,Other Crime,6,1,02-09-2022 06:00,,,,Teen
21781,21782,,,Pune,545,IDENTITY THEFT,67,Other,Knife,Violent Crime,13,1,05-08-2022 12:00,,,,Senior
21782,21783,,,Hyderabad,518,PUBLIC INTOXICATION,21,Other,Firearm,Other Crime,18,1,18-07-2022 07:00,,,,Young Adult
21783,21784,,,Pune,375,DOMESTIC VIOLENCE,71,Other,Other,Violent Crime,9,1,28-07-2022 09:00,,,,Senior
21784,21785,,,Chennai,518,PUBLIC INTOXICATION,12,F,Knife,Other Crime,12,0,Ongoing,,,,Child
21785,21786,,,Delhi,392,VANDALISM,79,F,Knife,Other Crime,5,1,15-09-2022 15:00,,,,Senior
21786,21787,,,Mumbai,360,VEHICLE - STOLEN,56,Other,Blunt Object,Violent Crime,7,0,Ongoing,,,,Adult
21787,21788,,,Faridabad,546,EXTORTION,49,F,Firearm,Other Crime,18,1,31-08-2022 01:00,,,,Adult
21788,21789,,,Mumbai,163,ARSON,56,M,None,Fire Accident,17,1,22-08-2022 08:00,,,,Adult
21789,21790,,,Delhi,407,PUBLIC INTOXICATION,50,M,Poison,Other Crime,8,1,12-07-2022 04:00,,,,Adult
21790,21791,,,Delhi,553,VANDALISM,30,Other,Explosives,Other Crime,1,0,Ongoing,,,,Young Adult
21791,21792,,,Pune,591,KIDNAPPING,42,Other,Poison,Other Crime,12,1,10-09-2022 11:00,,,,Adult
21792,21793,,,Jaipur,281,VEHICLE - STOLEN,65,F,Knife,Violent Crime,17,0,Ongoing,,,,Senior
21793,21794,,,Delhi,192,SHOPLIFTING,18,M,Explosives,Other Crime,6,1,21-08-2022 01:00,,,,Teen
21794,21795,,,Kanpur,407,ARSON,28,F,Other,Fire Accident,19,1,07-07-2022 13:00,,,,Young Adult
21795,21796,,,Chennai,459,KIDNAPPING,17,F,Firearm,Other Crime,1,1,16-07-2022 11:00,,,,Teen
21796,21797,,,Mumbai,331,SEXUAL ASSAULT,64,Other,Poison,Violent Crime,1,1,18-06-2023 00:00,,,,Senior
21797,21798,,,Ahmedabad,315,ROBBERY,50,M,Knife,Violent Crime,18,1,16-12-2022 11:00,,,,Adult
21798,21799,,,Delhi,308,ILLEGAL POSSESSION,12,M,Other,Other Crime,9,1,16-09-2022 15:00,,,,Child
21799,21800,,,Hyderabad,228,DOMESTIC VIOLENCE,19,F,Poison,Violent Crime,3,0,Ongoing,,,,Teen
21800,21801,,,Kolkata,264,BURGLARY,58,F,Blunt Object,Other Crime,9,1,25-11-2022 11:00,,,,Adult
21801,21802,,,Patna,165,DOMESTIC VIOLENCE,26,Other,Blunt Object,Violent Crime,9,1,25-08-2022 03:00,,,,Young Adult
21802,21803,,,Ludhiana,186,ROBBERY,62,F,Other,Violent Crime,12,1,13-09-2022 02:00,,,,Senior
21803,21804,,,Indore,474,HOMICIDE,37,Other,Blunt Object,Other Crime,2,0,Ongoing,,,,Adult
21804,21805,,,Delhi,222,SHOPLIFTING,47,M,Firearm,Other Crime,16,0,Ongoing,,,,Adult
21805,21806,,,Delhi,153,CYBERCRIME,35,M,Other,Other Crime,17,1,24-08-2022 00:00,,,,Young Adult
21806,21807,,,Chennai,125,SEXUAL ASSAULT,17,F,Blunt Object,Violent Crime,12,0,Ongoing,,,,Teen
21807,21808,,,Mumbai,395,FIREARM OFFENSE,31,Other,None,Fire Accident,16,1,31-07-2022 04:00,,,,Young Adult
21808,21809,,,Mumbai,244,DRUG OFFENSE,31,Other,None,Other Crime,16,1,24-07-2022 02:00,,,,Young Adult
21809,21810,,,Varanasi,252,FRAUD,11,M,None,Other Crime,9,1,07-07-2022 17:00,,,,Child
21810,21811,,,Hyderabad,579,ILLEGAL POSSESSION,24,Other,Knife,Other Crime,9,0,Ongoing,,,,Young Adult
21811,21812,,,Hyderabad,567,ASSAULT,72,F,Other,Violent Crime,8,0,Ongoing,,,,Senior
21812,21813,,,Ahmedabad,293,IDENTITY THEFT,64,F,Other,Violent Crime,11,1,13-09-2022 03:00,,,,Senior
21813,21814,,,Chennai,443,SEXUAL ASSAULT,37,M,Explosives,Violent Crime,1,1,14-04-2024 02:00,,,,Adult
21814,21815,,,Visakhapatnam,468,SEXUAL ASSAULT,62,Other,Firearm,Violent Crime,19,0,Ongoing,,,,Senior
21815,21816,,,Kolkata,479,BURGLARY,50,Other,Poison,Other Crime,19,1,25-08-2022 22:00,,,,Adult
21816,21817,,,Delhi,497,VANDALISM,25,F,None,Other Crime,8,0,Ongoing,,,,Young Adult
21817,21818,,,Delhi,489,ASSAULT,34,Other,Explosives,Violent Crime,5,0,Ongoing,,,,Young Adult
21818,21819,,,Nashik,534,VANDALISM,50,M,Blunt Object,Other Crime,5,0,Ongoing,,,,Adult
21819,21820,,,Delhi,432,IDENTITY THEFT,78,F,Firearm,Violent Crime,7,1,07-09-2022 05:00,,,,Senior
21820,21821,,,Kanpur,526,IDENTITY THEFT,35,F,Explosives,Violent Crime,2,1,17-09-2022 05:00,,,,Young Adult
21821,21822,,,Mumbai,435,ASSAULT,53,M,Explosives,Violent Crime,1,0,Ongoing,,,,Adult
21822,21823,,,Lucknow,498,ROBBERY,25,F,Knife,Violent Crime,7,0,Ongoing,,,,Young Adult
21823,21824,,,Ahmedabad,413,KIDNAPPING,44,M,Other,Other Crime,4,1,19-09-2022 19:00,,,,Adult
21824,21825,,,Nagpur,287,EXTORTION,60,Other,Knife,Other Crime,5,0,Ongoing,,,,Adult
21825,21826,,,Ahmedabad,107,SEXUAL ASSAULT,35,Other,Explosives,Violent Crime,14,0,Ongoing,,,,Young Adult
21826,21827,,,Chennai,499,COUNTERFEITING,50,Other,Blunt Object,Other Crime,9,0,Ongoing,,,,Adult
21827,21828,,,Chennai,403,FRAUD,59,M,Poison,Other Crime,19,0,Ongoing,,,,Adult
21828,21829,,,Kolkata,418,HOMICIDE,34,M,Knife,Other Crime,16,0,Ongoing,,,,Young Adult
21829,21830,,,Delhi,207,DRUG OFFENSE,51,F,Knife,Other Crime,7,0,Ongoing,,,,Adult
21830,21831,,,Delhi,359,SEXUAL ASSAULT,25,F,None,Violent Crime,7,1,12-04-2023 19:00,,,,Young Adult
21831,21832,,,Bangalore,567,PUBLIC INTOXICATION,69,Other,Blunt Object,Other Crime,2,0,Ongoing,,,,Senior
21832,21833,,,Delhi,416,PUBLIC INTOXICATION,15,F,Poison,Other Crime,5,0,Ongoing,,,,Teen
21833,21834,,,Pune,244,DRUG OFFENSE,60,F,Other,Other Crime,4,1,31-07-2022 17:00,,,,Adult
21834,21835,,,Hyderabad,308,ILLEGAL POSSESSION,22,Other,Poison,Other Crime,1,1,26-08-2022 02:00,,,,Young Adult
21835,21836,,,Pune,501,FIREARM OFFENSE,46,F,Poison,Fire Accident,5,0,Ongoing,,,,Adult
21836,21837,,,Bhopal,214,SEXUAL ASSAULT,33,F,Other,Violent Crime,11,1,06-06-2024 00:00,,,,Young Adult
21837,21838,,,Lucknow,519,DRUG OFFENSE,49,F,Blunt Object,Other Crime,9,0,Ongoing,,,,Adult
21838,21839,,,Mumbai,111,IDENTITY THEFT,59,F,Other,Violent Crime,3,0,Ongoing,,,,Adult
21839,21840,,,Kolkata,583,DOMESTIC VIOLENCE,76,Other,Explosives,Violent Crime,6,0,Ongoing,,,,Senior
21840,21841,,,Chennai,492,DOMESTIC VIOLENCE,37,M,Blunt Object,Violent Crime,1,1,23-07-2022 04:00,,,,Adult
21841,21842,,,Ahmedabad,167,ROBBERY,73,F,Explosives,Violent Crime,12,0,Ongoing,,,,Senior
21842,21843,,,Hyderabad,370,ARSON,56,F,None,Fire Accident,17,1,08-09-2022 14:00,,,,Adult
21843,21844,,,Delhi,208,KIDNAPPING,36,F,Blunt Object,Other Crime,3,0,Ongoing,,,,Adult
21844,21845,,,Nashik,272,ROBBERY,31,M,Poison,Violent Crime,11,0,Ongoing,,,,Young Adult
21845,21846,,,Ludhiana,206,SEXUAL ASSAULT,74,Other,Blunt Object,Violent Crime,1,1,31-08-2023 23:00,,,,Senior
21846,21847,,,Kolkata,418,PUBLIC INTOXICATION,35,Other,Knife,Other Crime,18,1,22-07-2022 08:00,,,,Young Adult
21847,21848,,,Lucknow,250,IDENTITY THEFT,54,M,Knife,Violent Crime,3,1,23-08-2022 05:00,,,,Adult
21848,21849,,,Chennai,366,ARSON,49,M,Firearm,Fire Accident,11,0,Ongoing,,,,Adult
21849,21850,,,Hyderabad,451,BURGLARY,31,F,Firearm,Other Crime,19,0,Ongoing,,,,Young Adult
21850,21851,,,Bangalore,142,CYBERCRIME,16,F,Blunt Object,Other Crime,18,0,Ongoing,,,,Teen
21851,21852,,,Agra,141,KIDNAPPING,66,Other,Poison,Other Crime,4,0,Ongoing,,,,Senior
21852,21853,,,Chennai,506,FIREARM OFFENSE,33,M,Blunt Object,Fire Accident,15,0,Ongoing,,,,Young Adult
21853,21854,,,Delhi,531,IDENTITY THEFT,32,M,Poison,Violent Crime,2,0,Ongoing,,,,Young Adult
21854,21855,,,Agra,519,PUBLIC INTOXICATION,59,F,Knife,Other Crime,9,1,31-07-2022 05:00,,,,Adult
21855,21856,,,Mumbai,548,EXTORTION,23,M,Blunt Object,Other Crime,3,0,Ongoing,,,,Young Adult
21856,21857,,,Bangalore,156,PUBLIC INTOXICATION,71,Other,Explosives,Other Crime,18,1,05-07-2022 18:00,,,,Senior
21857,21858,,,Nagpur,420,TRAFFIC VIOLATION,10,F,Blunt Object,Traffic Fatality,3,1,13-07-2022 01:00,,,,Child
21858,21859,,,Meerut,386,DOMESTIC VIOLENCE,50,Other,Explosives,Violent Crime,8,0,Ongoing,,,,Adult
